DOI,Query,PII,Title,Journal
10.1016/s0950-0618(11)00222-4, ,None,Calendar,Construction and Building Materials
10.1016/s0950-0618(14)00449-8, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2014.04.062, ,None,Cement-based renders with insulating properties,Construction and Building Materials
10.1016/j.conbuildmat.2014.08.039, ,None,"Corrigendum to “Effect of fiber length and placement method on flexural behavior, tension-softening curve, and fiber distribution characteristics of UHPFRC” [Constr. Build. Mater. 64 (2014) 67–81]",Construction and Building Materials
10.1016/j.conbuildmat.2010.06.072, ,None,Mechanical behaviour of fired clay materials subjected to freeze–thaw cycles,Construction and Building Materials
10.1016/j.conbuildmat.2012.02.043, ,None,Corn cob lightweight concrete for non-structural applications,Construction and Building Materials
10.1016/s0950-0618(11)00120-6, ,None,Calendar,Construction and Building Materials
10.1016/s0950-0618(12)00371-6, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2013.08.053, ,None,RETRACTED: Experimental method and prediction model for autogenous shrinkage of high performance concrete,Construction and Building Materials
10.1016/s0950-0618(09)00329-8, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2010.11.018, ,None,Low-temperature tensile behaviour of asphalt binders: Application of loading time–temperature–conditioning time superposition principle,Construction and Building Materials
10.1016/j.conbuildmat.2013.11.050, ,None,Effect of ageing time on properties of hot-mix asphalt containing recycled concrete aggregates,Construction and Building Materials
10.1016/s0950-0618(11)00009-2, ,None,Calendar,Construction and Building Materials
10.1016/s0950-0618(14)00414-0, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2013.07.005, ,None,Experimental characterisation of load responses to failure of a RC frame and a NSM CFRP RC frame,Construction and Building Materials
10.1016/j.conbuildmat.2010.06.051, ,None,Solidification/stabilization of Ni(II) by various cement pastes,Construction and Building Materials
10.1016/j.conbuildmat.2011.12.021, ,None,Comparison of permanent deformation and fatigue resistance of hot mix asphalts prepared with the same performance grade binders,Construction and Building Materials
10.1016/j.conbuildmat.2014.02.055, ,None,Recycling foundry sand in road construction–field assessment,Construction and Building Materials
10.1016/j.conbuildmat.2013.03.017, ,None,"100-year-old Hennebique concrete, from composition to performance",Construction and Building Materials
10.1016/j.conbuildmat.2013.05.080, ,None,Models for predicting the density and compressive strength of rubberized concrete pavement blocks,Construction and Building Materials
