DOI,Query,PII,Title,Journal
10.1016/s0950-0618(17)31995-5, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2016.03.147, ,None,The study of corrosion resistance of Pokostivskiy granodiorites after processing by various chemical and mechanical methods,Construction and Building Materials
10.1016/j.conbuildmat.2018.07.145, ,None,Nondestructive monitoring the deterioration process of cement paste exposed to sodium sulfate solution by X-ray computed tomography,Construction and Building Materials
10.1016/j.conbuildmat.2017.05.118, ,None,Seismic behavior of steel coupling beam with different buckling constraint materials,Construction and Building Materials
10.1016/j.conbuildmat.2018.05.098, ,None,Investigation of the potential use of waste from ornamental stone processing after heat treatment for the production of cement-based paste,Construction and Building Materials
10.1016/j.conbuildmat.2018.02.140, ,None,Experimental and analytical study on precast concrete dowel connections under quasi-static loading,Construction and Building Materials
10.1016/j.conbuildmat.2019.05.002, ,None,The thermal and damage characteristics of an insulated-conductive composite structure for the heated bridge deck for snow-melting,Construction and Building Materials
10.1016/j.conbuildmat.2018.07.038, ,None,Multi-scale investigation of the effect of γ irradiations on the mechanical properties of cementitious materials,Construction and Building Materials
10.1016/j.conbuildmat.2018.01.183, ,None,Truss-type shear connector for composite steel-concrete beams,Construction and Building Materials
10.1016/j.conbuildmat.2015.02.028, ,None,Capturing the strain hardening and softening responses of cementitious composites subjected to impact loading,Construction and Building Materials
10.1016/j.conbuildmat.2017.12.019, ,None,Novel surface treatment of concrete bricks using acid-resistance mineral precipitation,Construction and Building Materials
10.1016/j.conbuildmat.2019.03.303, ,None,Study on the composite mechanism of large Rubber-Sleeved Stud connector,Construction and Building Materials
10.1016/j.conbuildmat.2018.09.011, ,None,Experimental study on the coupling effect of sulfate corrosion and loading on the mechanical behavior of steel and H-section beam,Construction and Building Materials
10.1016/j.conbuildmat.2017.05.201, ,None,The compressive strength of vertically perforated clay block masonry predicted by means of a unit-cell type numerical simulation tool taking discrete cracking into account,Construction and Building Materials
10.1016/j.conbuildmat.2019.02.138, ,None,Study on the antifreeze performance of porous cement stabilized macadam,Construction and Building Materials
10.1016/j.conbuildmat.2016.03.177, ,None,Assessment of the mechanical properties of a concrete made by reusing both: Brewery spent diatomite and recycled aggregates,Construction and Building Materials
10.1016/j.conbuildmat.2015.07.097, ,None,Influence of the water variation on the mechanical properties of concrete manufactured with recycled mixed aggregates for pre-stressed components,Construction and Building Materials
10.1016/j.conbuildmat.2017.06.052, ,None,Modeling of helically stranded cables using multiple beam finite elements and its application to torque balance design,Construction and Building Materials
10.1016/j.conbuildmat.2016.03.185, ,None,Structural performance of reinforced strain hardening cementitious composite pipes during monotonic loading,Construction and Building Materials
10.1016/j.conbuildmat.2018.04.108, ,None,A model investigation of the mechanisms of external sulfate attack on portland cement binders,Construction and Building Materials
10.1016/j.conbuildmat.2019.07.070, ,None,Interevent acoustic emission character of three-point-bending tests on concrete beams by the nearest neighbor distance,Construction and Building Materials
10.1016/j.conbuildmat.2016.12.200, ,None,Improving the rheometry of rubberized bitumen: experimental and computation fluid dynamics studies,Construction and Building Materials
10.1016/j.conbuildmat.2016.02.168, ,None,Combining Brazilian tests on masonry cores and double punch tests for the mechanical characterization of historical mortars,Construction and Building Materials
10.1016/j.conbuildmat.2017.08.109, ,None,Use of alkali-silica reactive sedimentary rock powder as a resource to produce high strength geopolymer binder,Construction and Building Materials
