DOI,Query,PII,Title,Journal
10.1016/s0950-0618(03)00036-9, ,None,Structural performance of a FRP bridge deck,Construction and Building Materials
10.1016/s0950-0618(02)00014-4, ,None,Strengthening techniques tested on masonry structures struck by the Umbria–Marche earthquake of 1997–1998,Construction and Building Materials
10.1016/s0950-0618(03)00026-6, ,None,An evaluation of highly insulated cold zinc roofs in a moderate humid region—part II: corrosion behavior of zinc sheeting,Construction and Building Materials
10.1016/s0950-0618(01)00017-4, ,None,Calendar,Construction and Building Materials
10.1016/s0950-0618(02)00006-5, ,None,Ten years of frost testing at Sheffield Hallam University,Construction and Building Materials
10.1016/s0950-0618(03)00052-7, ,None,The reconstruction of the Cathedral of Noto,Construction and Building Materials
10.1016/s0950-0618(03)00059-x, ,None,Experimental research for the choice of adequate materials for the reconstruction of the Cathedral of Noto,Construction and Building Materials
10.1016/s0950-0618(03)00063-1, ,None,The reconstruction of the sandstone dome of the Frauenkirche,Construction and Building Materials
10.1016/s0950-0618(00)00040-4, ,None,Integrity analysis of single and multi-layer thin cement mortar slab structures using the spectral analysis of surface wave NDT method,Construction and Building Materials
10.1016/s0950-0618(03)00104-1, ,None,Calendar,Construction and Building Materials
10.1016/s0950-0618(03)00053-9, ,None,The partial reconstruction design of the Cathedral of Noto,Construction and Building Materials
10.1016/j.conbuildmat.2004.02.005, ,None,Water permeance problems in single wythe masonry walls: the case of wind mills,Construction and Building Materials
10.1016/s0950-0618(03)00120-x, ,None,Numerical studies on load-carrying capacities of notched concrete beams subjected to various concentrated loads,Construction and Building Materials
10.1016/s0950-0618(00)00047-7, ,None,"Mineral inlays in natural stone slabs: techniques, materials and preservation",Construction and Building Materials
10.1016/s0950-0618(99)00039-2, ,None,Oxygen and water vapour transport in cement–silica fume pastes,Construction and Building Materials
10.1016/s0950-0618(03)00061-8, ,None,A short summary of the history of the Frauenkirche in Dresden,Construction and Building Materials
10.1016/s0950-0618(01)00035-6, ,None,Behaviour of low-temperature fired laterite bricks under uniaxial compressive loading,Construction and Building Materials
10.1016/s0950-0618(03)00064-3, ,None,"The soil condition, the foundation and the basement of the Frauenkirche in Dresden",Construction and Building Materials
10.1016/s0950-0618(99)00031-8, ,None,The deterioration of mortar in sulphate environments,Construction and Building Materials
10.1016/s0950-0618(02)00034-x, ,None,A perspective study on fly ash–lime–gypsum bricks and hollow blocks for low cost housing development,Construction and Building Materials
