DOI,Query,PII,Title,Journal
10.1016/s0950-0618(05)00104-2, ,None,Calendar-Update from Previous Issue,Construction and Building Materials
10.1016/s0950-0618(05)00296-5, ,None,Calendar,Construction and Building Materials
10.1016/j.conbuildmat.2005.06.053, ,None,Study the surface color of sewage sludge mortar at high temperature,Construction and Building Materials
10.1016/j.conbuildmat.2007.05.011, ,None,The effects of cement/fly ash ratios on the volcanic slag aggregate lightweight concrete masonry units,Construction and Building Materials
10.1016/j.conbuildmat.2009.03.006, ,None,Research on the conductive asphalt concrete’s piezoresistivity effect and its mechanism,Construction and Building Materials
10.1016/j.conbuildmat.2008.10.001, ,None,Air void system and frost-salt scaling of concrete containing slag-blended cement,Construction and Building Materials
10.1016/j.conbuildmat.2006.06.025, ,None,Some rheological properties of composite slag–cement mortars with secondary industrial waste,Construction and Building Materials
10.1016/s0950-0618(06)00032-8, ,None,Calendar,Construction and Building Materials
10.1016/j.conbuildmat.2008.02.021, ,None,Aerospace technology for strengthening of bridges,Construction and Building Materials
10.1016/j.conbuildmat.2004.11.004, ,None,The reduction in errors associated with ultrasonic non-destructive testing of timber arising from differential pressure on and movement of transducers,Construction and Building Materials
10.1016/j.conbuildmat.2009.01.004, ,None,A model specification for fiber reinforced non-participating permanent formwork panels for concrete bridge deck construction,Construction and Building Materials
10.1016/j.conbuildmat.2006.05.028, ,None,Defects of non-loadbearing masonry walls due to partial basal supports,Construction and Building Materials
10.1016/j.conbuildmat.2009.08.012, ,None,A combined ultrasound method applied to high performance concrete with silica fume,Construction and Building Materials
10.1016/j.conbuildmat.2006.05.008, ,None,Creep effect on the behavior of concrete beams reinforced with GFRP bars subjected to different environments,Construction and Building Materials
10.1016/j.conbuildmat.2005.09.008, ,None,Mechanical performance of BStIV grade steel bars with regard to the long-term material degradation due to corrosion damage,Construction and Building Materials
10.1016/j.conbuildmat.2007.11.004, ,None,Experimental and numerical analysis of a stop-splayed traditional timber scarf joint with key,Construction and Building Materials
10.1016/j.conbuildmat.2006.08.023, ,None,Stains in facades’ rendering – Diagnosis and maintenance techniques’ classification,Construction and Building Materials
10.1016/j.conbuildmat.2006.10.001, ,None,"Evaluation of mechanical, physical and thermal performance of cement-based tiles reinforced with vegetable fibers",Construction and Building Materials
10.1016/j.conbuildmat.2005.03.001, ,None,Guest editorial,Construction and Building Materials
10.1016/s0950-0618(09)00329-8, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2005.01.008, ,None,The effect of concrete strength and reinforcement on toughness of reinforced concrete beams,Construction and Building Materials
10.1016/s0950-0618(08)00206-7, ,None,Calendar,Construction and Building Materials
10.1016/j.conbuildmat.2009.04.010, ,None,Multivariate adaptive regression (MARS) and hinged hyperplanes (HHP) for doweled pavement performance modeling,Construction and Building Materials
10.1016/j.conbuildmat.2005.06.029, ,None,Mineralogical study of polymer modified mortar with silica fume,Construction and Building Materials
